file_name,avg_temp,avg_pressure,flux_value,flux_type,plot_id,seg_sd,avg_co2,avg_h2o,r2,aic,param,flux_direction_flag,redo,day_night,par_flag,r2_flag,seg_flag,flux_flag
5_2800_west_5_day_photo.txt,18.8276022647255,73.0145752360411,-0.862902188903569,photo,2800west5,0.848995134149165,402.455804136137,16.4657481211871,0.935656523766961,-26.281247277301,co2,Weird flux! Both positive and negative segments identified,FALSE,day,,Looks good!,"Not good, segments are extremely variable. Suggest to discard",discard
5_2800_west_4_day_redo_photo.txt,20.1785611111111,72.9875027777778,6.78713888539549,photo,2800west4,0,410.184166666667,14.6031416666667,0.961945379274056,34.6965564552889,co2,Looks good!,TRUE,day,,Looks good!,Looks good!,keep
5_2800_west_3_day_redo_photo.txt,20.8062035294118,72.9928117647059,-1.0525011363764,photo,2800west3,0,408.495964705882,18.4388588235294,0.91158484811123,-20.4156453082554,co2,Looks good!,TRUE,day,,Looks good!,Looks good!,keep
5_2800_west_3_day_photo.txt,21.1995784482759,72.9923370689655,,photo,2800west3,0,414.383310344828,17.6201775862069,,,co2,Looks good!,FALSE,day,PAR too low,"Be careful, R2 is suspiciously low or NA",,discard
5_2800_west_2_day_redo_photo.txt,21.84573,72.97275,-2.14364193844985,photo,2800west2,0,410.121366666667,16.83834,0.724407276404186,18.0702598118907,co2,Looks good!,TRUE,day,PAR too low,"Be careful, R2 is suspiciously low or NA",Looks good!,discard
5_2800_west_2_day_photo.txt,21.74668,72.973647826087,,photo,2800west2,0,414.255295652174,18.2662243478261,,,co2,Looks good!,FALSE,day,PAR too low,"Be careful, R2 is suspiciously low or NA",,discard
5_2800_west_1_day_photo.txt,20.2583346938776,72.9738959183674,-2.8710186698307,photo,2800west1,0,400.226551020408,17.5586020408163,0.913536873983435,33.7636763917854,co2,Looks good!,FALSE,day,,Looks good!,Looks good!,keep
5_2800_east_5_day_redo_photo.txt,18.7878088235294,73.1317323529412,-3.3936624919125,photo,2800east5,0,419.756147058824,14.6552411764706,0.96369480197692,-20.0390785612241,co2,Weird flux! Both positive and negative segments identified,TRUE,day,,Looks good!,Looks good!,discard
5_2800_east_5_day_photo.txt,19.9970090909091,73.1235840909091,-3.48302829614614,photo,2800east5,0,427.087681818182,20.8568727272727,0.970114152884084,-11.1859061415825,co2,Looks good!,FALSE,day,PAR too low,Looks good!,Looks good!,keep
5_2800_east_4_day_photo.txt,22.2353040697674,73.1265145348837,,photo,2800east4,0,437.851843023256,16.3489453488372,,,co2,Looks good!,FALSE,day,,"Be careful, R2 is suspiciously low or NA",,discard
5_2800_east_3_day_photo.txt,22.9883210526316,73.115049122807,,photo,2800east3,0,415.762710526316,19.0694385964912,,,co2,Weird flux! Both positive and negative segments identified,FALSE,day,,"Be careful, R2 is suspiciously low or NA",,discard
5_2800_east_2_day_photo.txt,23.3640467464271,73.1176677109024,1.74066444275938,photo,2800east2,0,411.483102588812,20.7116356300531,0.822004607266926,1.25136424060651,co2,Weird flux! Both positive and negative segments identified,FALSE,day,,Looks good!,Looks good!,discard
5_2800_east_1_day_photo.txt,23.1866967741936,73.1309096774194,2.50288809427375,photo,2800east1,0,428.574225806452,18.5301419354839,0.921488535926756,-16.1248514118764,co2,Looks good!,FALSE,day,,Looks good!,Looks good!,keep
